community,avg_inner_edge_weight
479188,1.666666667
202093,2.888888889
339039,2
65147,2.888888889
176245,2
205359,3
36096,3.625
68413,4.25
600631,2
271840,2
134894,6
275106,6
367435,2
880337,2
41910,2.444444444
274388,2.4
108391,4
137505,2.9
559,2.846153846
111657,3.5
643875,4
211307,3.333333333
74361,2.75
166690,3
33010,6
3959,3
402497,2
941184,2
73706,5
309450,3
707988,3
169301,11
32355,2.568965517
678937,2
105368,2.111111111
1014331,2
271499,3.333333333
108705,3.5
300613,3
163667,2.5
137819,2.152542373
1208724,2
370297,2
536357,2
341246,4.090909091
204300,3.166666667
370360,2
274047,2
137101,2
440107,2
809531,2.333333333
698433,2
343794,1.6
372908,2
206911,2.363636364
95813,2.333333333
446710,3.571428571
169615,2.1
705099,2
99150,10
102416,2.666666667
198011,3.12
32014,3.642857143
6166,2
404704,3.142857143
241910,2.105263158
293606,2
156660,2.5
101761,3.125
75913,4
337505,4
171508,3.888888889
34562,4
296154,3
163326,3.2
369956,2
203959,3.166666667
96127,2
188456,2
162608,2.375
136760,2
328668,1.833333333
561146,2
25725,3.875
258203,2
398415,2
235621,2.5
66358,3.979166667
95472,2.833333333
69624,3
327950,2.333333333
165219,5
28273,2
563757,2
264806,2
405018,2
127923,2.333333333
102075,3.333333333
226721,1.964285714
363667,2.75
1036097,2
86572,3.4
197670,2.25
60724,1.909090909
433414,2
404363,2
267417,2
130471,2.692307692
101420,1.714285714
640107,2
34221,3
60069,4
321661,2
266762,2
129816,3.266666667
18718,2.4
391408,2
975501,2
972298,2
133871,2.375
95786,2
328264,3
299213,2.533333333
25321,3.36
752650,3
51169,2.8
191381,2.461538462
28587,3.25
564071,3
368960,2
796549,2
261128,3
95068,2.833333333
120916,3.333333333
235280,2
741650,2.166666667
301761,2.5
193929,2.8
24666,3.105263158
27932,2.666666667
123527,3
666269,2
1341902,2
197266,2.5
226380,2.5
57117,6.666666667
197329,2
898810,2
296127,3
267076,1.666666667
130130,6
19032,5.25
502820,2
528668,2
62931,3
59728,2.408163265
33880,3.5
292206,2
1133899,2
295472,3
391067,2
369274,4
261442,3.333333333
601815,2
464869,2
726461,2
50828,3
560464,2
120575,4.25
822056,2
231673,3.5
123841,3.033333333
97993,1.75
1168898,2
79224,6.5
588860,2
24325,2
218718,2
1064466,2
732409,3
60042,3
321634,2
432732,2
295786,3
15425,1.666666667
362267,2
365533,5
254435,2
199536,6
62590,2.625
457862,2.333333333
598074,1.666666667
461128,7
324182,2
291865,2
184033,2.2
132337,3
21239,2.6
227932,2
116834,3.857142857
90986,5.5
767471,2
24639,2
850766,3.333333333
397329,2
149285,3.551724138
824918,1.666666667
94386,2.422222222
629870,2
244880,4
355978,2
359244,2
326927,2.333333333
27187,3.461538462
314627,6
288779,2.666666667
11684,3.205787781
410222,2
495472,4.666666667
107279,2.2
55583,2
177026,2.4
898065,2
830866,2
184347,2.5
527923,2
250828,2
84831,3.095238095
113945,2
597670,1.666666667
62249,4.6
346423,2
460787,3.5
17632,5
833477,2.5
20898,2
131996,2.5
390322,2
253439,4.666666667
87379,2.875
113227,3
90645,4.761904762
489183,2
352237,3
182974,2
49294,2.25
20243,3.975
1028722,2
1427260,2
11998,1.6
521634,2
384688,2.333333333
381485,2.125
920172,3
783226,2
218691,4.166666667
189640,3
52694,2.833333333
26846,2.666666667
1237963,2
177340,2.083333333
852973,1.666666667
259387,2.5
798074,2
122441,4
55242,3.906976744
81090,2.333333333
619777,2
316834,4
287783,2
150837,2
549375,2.333333333
412429,2.5
113541,2
512079,2
626443,3
884769,2.25
323500,8
186554,2.285714286
17291,3.018867925
20557,5.727272727
46405,2
585092,2
925465,2
762671,3.1
90304,2
116152,3.666666667
488842,2
182633,2.428571429
214950,2.666666667
19839,2
144548,5.3
122755,2.404761905
919831,2
218350,2
753834,2
52353,2.333333333
176999,3
40053,2.944444444
122100,1.666666667
357844,3
80749,3.924528302
54901,2.977777778
619436,2.615384615
590385,2
342341,9.5
992126,2
205395,2
13550,2.333333333
109145,2.75
116466,2.2
485890,2
515004,3
1021374,3
773330,2
71849,4.5
182947,2.6
46001,5
555637,2
252694,3.880952381
167444,2
141596,2.5
144862,2.80952381
281808,6
488438,2
654498,2
211343,2
237191,2.25
857925,2
48612,2.666666667
