last_author_yr,last_author_yr_val,unique_coauthor_profs,unique_coauthor_profs_exp_damp,unique_coauthor_profs_exp_damp_val,unique_coauthor_profs_lin_damp,unique_coauthor_profs_lin_damp_val,unique_coauthor_profs_sqrt_damp,unique_coauthor_profs_sqrt_damp_val,unique_coauthor_profs_square_damp,unique_coauthor_profs_square_damp_val,unique_coauthor_profs_val
Liyun Jia,2017,M. A. Buchmann,Edward M. Arnett,1.2416683696241249,Stefan M. Pfister,110.1142815957444,F. J. M. Geurts,282.9569300997389,Martin Bornhaeuser,46.67878021085329,3375
Andrea Mignarri,2017,D. M. Morse,William S. Emerson,1.2320434709964934,Matthias Stelljes,110.02637615892937,Niek Verweij,281.50658282164636,Dolores Caballero,46.61543385017265,3375
Luise Erpenbeck,2017,Raman Khurana,Cyril Ponnamperuma,1.2197578116826813,Carmen Behrens,108.75564766401907,Nicole L. Glazer,279.90135783024294,Kwok-Kin Wong,46.45030865550974,3375
Aris Baras,2017,A. Van Spilbeeck,Erika Check,1.2145543328846642,Kerstin Lindblad-Toh,108.60680097710579,Georg B. Ehret,278.58667324300967,Jatin J. Shah,46.151129975023345,3375
Junjie Shi,2017,G. Auzinger,Sheldon M. Wolff,1.2116401755284865,Rameen Beroukhim,108.56225250249399,Aki S. Havulinna,278.25459346737017,Richard F. Schlenk,46.05859196606409,3375
Chun-Xia Luo,2017,D. Velicanu,Charles E. Mengel,1.2036930480367345,Stephan Ripke,107.08355571969123,Kerrin S. Small,277.04510519045056,Ravi Vij,46.0486539233043,3375
Watson Ng,2017,J. R. Komaragiri,S. L. Friess,1.2021074123217452,Jeffrey A. Engelman,106.84538146156186,Loic Yengo,274.8869322586248,Esteban Braggio,45.98528587619639,3375
Kate E. Lawlor,2017,E. Tiras,H. R. Snyder,1.196282324495609,Swaminathan Padmanabhan,106.56367234203285,Julie M. Gastier-Foster,274.83718431361365,Régis Peffault de Latour,45.40631441326023,3375
Nathan Nguyen,2017,M. Marionneau,Richard L. Huganir,1.1902242512036298,Constantine S. Mitsiades,106.02797648938173,Alexei Protopopov,271.9984440505163,Tapan Kadia,45.40221606079103,3375
Caroline H. Johnson,2017,G. Codispoti,Paul I. Terasaki,1.162957786288919,Anthony R. Mato,105.89850980195234,Paul A. Northcott,271.9856695671681,Noel-Jean Milpied,45.2162117709995,3375
Andrew P. Jacobson,2017,B. Isildak,M. Anbar,1.1530358483922865,Claudia Haferlach,105.5585368279708,Stefan Herms,270.38410919772457,Alice T. Shaw,45.207481249422095,3375
Christopher Rodesney,2017,K. Ocalan,James N. Ihle,1.1510288011432677,Lubomir Sokol,105.49521153509001,Nicola Pirastu,270.1044367053183,Sarat Chandarlapaty,45.19353682122561,3375
